IRIS,DISP_MED21
751187006,30260.0
751187007,25760.0
751187008,39300.0
751187009,31020.0
751187010,29530.0
751187011,31830.0
751187012,34270.0
751187013,33970.0
751187014,27220.0
751187015,30640.0
751187016,29070.0
751187017,22750.0
751187018,21490.0
751187019,24590.0
751187020,26120.0
751187021,29330.0
751187022,30720.0
751187023,17390.0
751187024,27200.0
751187025,27050.0
751187026,23240.0
751187027,
751187101,23120.0
751187102,16490.0
751187103,16860.0
751187104,21270.0
751187105,19650.0
751187106,19050.0
751187107,21840.0
751187108,19220.0
751187109,19450.0
751187110,18980.0
751187201,17800.0
751187202,23030.0
751187203,25090.0
751187204,23910.0
751187205,21190.0
751187206,20380.0
751187207,19530.0
751187208,17020.0
751187209,14940.0
751197301,23440.0
751197302,23920.0
751197303,24490.0
751197304,25490.0
751197305,27230.0
751197306,16360.0
751197307,17860.0
751197308,16930.0
751197309,22210.0
751197310,19200.0
751197311,25190.0
751197312,19380.0
751197313,25440.0
751197314,20510.0
751197315,24590.0
751197316,23360.0
751197317,19760.0
751197318,
751197388,
751197401,19020.0
751197402,25520.0
751197403,21200.0
751197404,22970.0
751197405,19910.0
751197406,20440.0
751197407,
751197408,16940.0
751197409,16580.0
751197410,16580.0
751197411,26840.0
751197412,
751197413,21490.0
751197488,
751197501,24880.0
751197502,24790.0
751197503,22830.0
751197504,18120.0
751197505,24430.0
751197506,30210.0
751197507,27030.0
751197508,30970.0
751197509,17750.0
751197510,24400.0
751197511,22630.0
751197512,16880.0
751197513,18690.0
751197514,35060.0
751197515,33030.0
751197516,16230.0
751197517,18360.0
751197518,16200.0
751197519,18900.0
751197520,24960.0
751197521,25310.0
751197522,26260.0
751197523,27250.0
751197524,30780.0
751197525,
751197601,29410.0
751197602,30280.0
751197603,31220.0
751197604,31490.0
751197605,21440.0
751197606,20950.0
751197607,33780.0
751197608,24130.0
751197609,28430.0
751197610,17540.0
751197611,29090.0
751197612,32900.0
751197613,29630.0
751197614,26900.0
751197615,29800.0
751197616,19560.0
751197617,
751207701,23630.0
751207702,28950.0
751207703,19800.0
751207704,24330.0
751207705,20660.0
751207706,25850.0
751207707,23880.0
751207708,18760.0
751207709,16730.0
751207710,20840.0
751207711,20790.0
751207712,26420.0
751207713,19510.0
751207714,28460.0
751207801,18920.0
751207802,27240.0
751207803,16110.0
751207804,16720.0
751207805,29300.0
751207806,26420.0
751207807,31220.0
751207808,23720.0
751207809,27980.0
751207810,19120.0
751207811,24470.0
751207812,30210.0
751207813,19510.0
751207814,21730.0
751207815,25080.0
751207816,28780.0
751207901,27800.0
751207902,29310.0
751207903,28360.0
751207904,29980.0
751207905,29470.0
751207906,19640.0
751207907,24580.0
751207908,19780.0
751207909,30960.0
751207910,18110.0
751207911,23750.0
751207912,27920.0
751207913,31560.0
751207914,31250.0
751207915,31010.0
751207916,23910.0
751207917,
751208001,17780.0
751208002,29090.0
751208003,24830.0
751208004,36280.0
751208005,28930.0
751208006,32570.0
751208007,21350.0
751208008,16960.0
751208009,15350.0
751208010,18830.0
751208011,16680.0
751208012,20300.0
751208013,24640.0
751208014,25620.0
751208015,30600.0
751208016,24810.0
751208017,25180.0
751208018,21520.0
751208019,21440.0
751208020,16060.0
751208021,16980.0
751208022,21400.0
751208023,23250.0
751208024,27090.0
751208025,24780.0
751208026,31070.0
920020101,43300.0
920020102,38700.0
920020103,29500.0
920020104,34250.0
920020105,36240.0
920020106,33170.0
920020107,36740.0
920020201,38980.0
920020202,24160.0
920020203,35200.0
920020204,30260.0
920020205,26530.0
920020301,29520.0
920020302,21700.0
920020303,33790.0
920020304,35350.0
920020305,27220.0
920020306,17330.0
920020307,17740.0
920020308,29010.0
920020401,34910.0
920020402,32110.0
920020403,32320.0
920020404,39540.0
920020405,37900.0
920020406,30450.0
